EmployeeID,Age,Gender,Department,EducationLevel,WorkMode,ExperienceYears,MonthlySalarySAR,MonthlyHours,PerformanceScore,JobSatisfaction,Promotion
10001,59.0,Female,Operations,Bachelor,Hybrid,30,12430.0,167.0,62,8.0,No
10002,49.0,Male,IT,PhD,Hybrid,33,5188.0,204.0,99,8.0,No
10003,35.0,Female,IT,Diploma,Hybrid,5,11172.0,160.0,64,7.0,No
10004,,Female,Marketing,Bachelor,Hybrid,33,12683.0,158.0,81,10.0,No
10005,41.0,Female,Sales,Bachelor,Office,14,10895.0,222.0,83,9.0,No
10006,59.0,Female,Sales,Bachelor,Remote,13,14188.0,181.0,92,4.0,No
10007,39.0,Male,Finance,Bachelor,Remote,5,12938.0,161.0,80,7.0,No
10008,43.0,Female,Marketing,Master,Remote,31,12525.0,180.0,63,,No
10009,31.0,Male,Marketing,Diploma,Remote,2,3091.0,201.0,96,10.0,No
10010,31.0,Male,Sales,Bachelor,Office,2,264187.0,196.0,63,1.0,No
10011,44.0,Male,Finance,Bachelor,Office,21,16892.0,204.0,97,4.0,No
10012,56.0,Male,IT,Bachelor,Office,21,,149.0,78,2.0,No
10013,60.0,Male,HR,Master,Hybrid,9,5726.0,204.0,96,9.0,No
10014,44.0,Male,Operations,Master,Hybrid,2,10334.0,176.0,68,5.0,No
10015,23.0,Male,IT,Bachelor,Hybrid,11,18824.0,182.0,76,3.0,No
10016,42.0,Male,Sales,Bachelor,Remote,28,10769.0,210.0,58,4.0,No
10017,22.0,Male,Operations,Bachelor,Hybrid,16,13498.0,198.0,86,6.0,No
10018,44.0,Male,HR,Master,Remote,6,20488.0,189.0,86,10.0,No
10019,50.0,Female,,Bachelor,Hybrid,12,12373.0,130.0,92,1.0,Yes
10020,58.0,Female,Finance,Bachelor,Remote,1,11729.0,179.0,77,7.0,Yes
10021,22.0,Female,Operations,Master,Hybrid,3,13293.0,160.0,73,8.0,No
10022,41.0,Male,Finance,Bachelor,Hybrid,9,22340.0,198.0,77,7.0,No
